Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
16 Avenue and 192 Street,Monday-Friday,12:00 AM,145,252,,,397
16 Avenue and 192 Street,Monday-Friday,1:00 AM,102,161,,,263
16 Avenue and 192 Street,Monday-Friday,2:00 AM,81,131,,,212
16 Avenue and 192 Street,Monday-Friday,3:00 AM,70,109,,,179
16 Avenue and 192 Street,Monday-Friday,4:00 AM,47,70,,,117
16 Avenue and 192 Street,Monday-Friday,5:00 AM,31,39,,,70
16 Avenue and 192 Street,Monday-Friday,6:00 AM,19,24,,,43
16 Avenue and 192 Street,Monday-Friday,7:00 AM,13,15,,,28
16 Avenue and 192 Street,Monday-Friday,8:00 AM,7,13,,,20
16 Avenue and 192 Street,Monday-Friday,9:00 AM,8,20,,,28
16 Avenue and 192 Street,Monday-Friday,10:00 AM,12,70,,,82
16 Avenue and 192 Street,Monday-Friday,11:00 AM,30,230,,,260
16 Avenue and 192 Street,Monday-Friday,12:00 PM,70,412,,,482
16 Avenue and 192 Street,Monday-Friday,1:00 PM,117,426,,,543
16 Avenue and 192 Street,Monday-Friday,2:00 PM,117,400,,,517
16 Avenue and 192 Street,Monday-Friday,3:00 PM,103,344,,,447
16 Avenue and 192 Street,Monday-Friday,4:00 PM,114,321,,,435
16 Avenue and 192 Street,Monday-Friday,5:00 PM,137,344,,,481
16 Avenue and 192 Street,Monday-Friday,6:00 PM,131,355,,,486
16 Avenue and 192 Street,Monday-Friday,7:00 PM,163,363,,,526
16 Avenue and 192 Street,Monday-Friday,8:00 PM,188,374,,,562
16 Avenue and 192 Street,Monday-Friday,9:00 PM,242,418,,,660
16 Avenue and 192 Street,Monday-Friday,10:00 PM,263,426,,,689
16 Avenue and 192 Street,Monday-Friday,11:00 PM,217,374,,,591
16 Avenue and 192 Street,Saturday-Sunday,12:00 AM,58,223,,,281
16 Avenue and 192 Street,Saturday-Sunday,1:00 AM,39,175,,,214
16 Avenue and 192 Street,Saturday-Sunday,2:00 AM,24,142,,,166
16 Avenue and 192 Street,Saturday-Sunday,3:00 AM,18,112,,,130
16 Avenue and 192 Street,Saturday-Sunday,4:00 AM,16,80,,,96
16 Avenue and 192 Street,Saturday-Sunday,5:00 AM,11,46,,,57
16 Avenue and 192 Street,Saturday-Sunday,6:00 AM,7,23,,,30
16 Avenue and 192 Street,Saturday-Sunday,7:00 AM,4,16,,,20
16 Avenue and 192 Street,Saturday-Sunday,8:00 AM,2,9,,,11
16 Avenue and 192 Street,Saturday-Sunday,9:00 AM,2,15,,,17
16 Avenue and 192 Street,Saturday-Sunday,10:00 AM,4,47,,,51
16 Avenue and 192 Street,Saturday-Sunday,11:00 AM,2,159,,,161
16 Avenue and 192 Street,Saturday-Sunday,12:00 PM,4,279,,,283
16 Avenue and 192 Street,Saturday-Sunday,1:00 PM,10,283,,,293
16 Avenue and 192 Street,Saturday-Sunday,2:00 PM,15,284,,,299
16 Avenue and 192 Street,Saturday-Sunday,3:00 PM,22,276,,,298
16 Avenue and 192 Street,Saturday-Sunday,4:00 PM,27,293,,,320
16 Avenue and 192 Street,Saturday-Sunday,5:00 PM,31,330,,,361
16 Avenue and 192 Street,Saturday-Sunday,6:00 PM,32,361,,,393
16 Avenue and 192 Street,Saturday-Sunday,7:00 PM,38,391,,,429
16 Avenue and 192 Street,Saturday-Sunday,8:00 PM,57,394,,,451
16 Avenue and 192 Street,Saturday-Sunday,9:00 PM,74,405,,,479
16 Avenue and 192 Street,Saturday-Sunday,10:00 PM,65,418,,,483
16 Avenue and 192 Street,Saturday-Sunday,11:00 PM,67,318,,,385
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,31,14,,,45
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,22,7,,,29
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,12,7,,,19
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,5,15,,,20
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,9,49,,,58
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,22,231,,,253
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,63,425,,,488
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,138,432,,,570
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,162,346,,,508
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,176,253,,,429
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,201,239,,,440
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,234,235,,,469
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,243,235,,,478
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,261,240,,,501
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,318,237,,,555
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,436,254,,,690
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,528,257,,,785
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,415,222,,,637
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,283,170,,,453
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,172,111,,,283
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,137,86,,,223
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,120,79,,,199
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,87,45,,,132
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,58,30,,,88
32 Avenue East of 192 Street,Saturday-Sunday,12:00 AM,39,26,,,65
32 Avenue East of 192 Street,Saturday-Sunday,1:00 AM,24,17,,,41
32 Avenue East of 192 Street,Saturday-Sunday,2:00 AM,14,10,,,24
32 Avenue East of 192 Street,Saturday-Sunday,3:00 AM,10,7,,,17
32 Avenue East of 192 Street,Saturday-Sunday,4:00 AM,4,12,,,16
32 Avenue East of 192 Street,Saturday-Sunday,5:00 AM,9,40,,,49
32 Avenue East of 192 Street,Saturday-Sunday,6:00 AM,26,61,,,87
32 Avenue East of 192 Street,Saturday-Sunday,7:00 AM,52,76,,,128
32 Avenue East of 192 Street,Saturday-Sunday,8:00 AM,85,115,,,200
32 Avenue East of 192 Street,Saturday-Sunday,9:00 AM,120,145,,,265
32 Avenue East of 192 Street,Saturday-Sunday,10:00 AM,163,176,,,339
32 Avenue East of 192 Street,Saturday-Sunday,11:00 AM,195,193,,,388
32 Avenue East of 192 Street,Saturday-Sunday,12:00 PM,219,208,,,427
32 Avenue East of 192 Street,Saturday-Sunday,1:00 PM,229,213,,,442
32 Avenue East of 192 Street,Saturday-Sunday,2:00 PM,230,198,,,428
32 Avenue East of 192 Street,Saturday-Sunday,3:00 PM,251,221,,,472
32 Avenue East of 192 Street,Saturday-Sunday,4:00 PM,241,213,,,454
32 Avenue East of 192 Street,Saturday-Sunday,5:00 PM,210,177,,,387
32 Avenue East of 192 Street,Saturday-Sunday,6:00 PM,156,127,,,283
32 Avenue East of 192 Street,Saturday-Sunday,7:00 PM,136,122,,,258
32 Avenue East of 192 Street,Saturday-Sunday,8:00 PM,131,102,,,233
32 Avenue East of 192 Street,Saturday-Sunday,9:00 PM,101,82,,,183
32 Avenue East of 192 Street,Saturday-Sunday,10:00 PM,83,49,,,132
32 Avenue East of 192 Street,Saturday-Sunday,11:00 PM,50,32,,,82
64 Avenue East of Scott Road,Monday-Friday,12:00 AM,91,48,,,139
64 Avenue East of Scott Road,Monday-Friday,1:00 AM,63,29,,,92
64 Avenue East of Scott Road,Monday-Friday,2:00 AM,45,35,,,80
64 Avenue East of Scott Road,Monday-Friday,3:00 AM,36,67,,,103
64 Avenue East of Scott Road,Monday-Friday,4:00 AM,53,176,,,229
64 Avenue East of Scott Road,Monday-Friday,5:00 AM,96,745,,,841
64 Avenue East of Scott Road,Monday-Friday,6:00 AM,245,960,,,1205
64 Avenue East of Scott Road,Monday-Friday,7:00 AM,392,960,,,1352
64 Avenue East of Scott Road,Monday-Friday,8:00 AM,405,825,,,1230
64 Avenue East of Scott Road,Monday-Friday,9:00 AM,345,655,,,1000
64 Avenue East of Scott Road,Monday-Friday,10:00 AM,401,595,,,996
