BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTRE,BUSINESS_LICENCE_APPLICATION_TYPE,YEAR,LONGITUDE,LATITUDE
S & R Sawmills Ltd,Mfg. - Sawmills & Custom Cutting,0,18887,98A Ave,V4N4E1,6048880022,425,GTC,Commercial/Industrial,2012,-122.69889,49.18174
Valley View Memorial Gardens,Cemetary,0,14644,72 Ave,V3S2E7,6045967196,44,NTC,Commercial/Industrial,2012,-122.81655,49.13365
Bekaert Canada Ltd,Manufacturers,0,11041,Elevator Rd,V3V2R8,6045815441,135,WTC,Commercial/Industrial,2012,-122.91582,49.17818
Reliance Foundry Co Ltd,Manufacturing,207,6450,148 St,V3S7G7,6045924333,11,NTC,Commercial/Industrial,2012,-122.81204,49.11977
Roaths Pawn Shop Ltd,Pawn Shop,0,13573,King George Blvd,V3T2V1,6045844010,7,SCC,Commercial/Industrial,2012,-122.84626,49.19945
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",0,9376,King George Blvd,V3V5W3,6045846555,22,WTC,Commercial/Industrial,2012,-122.84565,49.17327
Cloverdale Paint Inc,Retail Merchants,0,6950,King George Blvd,V3W4Z1,6045961736,106,NTC,Commercial/Industrial,2012,-122.84545,49.12864
Venus Cleaners (176 St),Dry Cleaner (no coin operated machines),0,5758,176 St,V3S4C8,6045744355,1,CTC,Commercial/Industrial,2012,-122.73483,49.10703
P K Building Supply,"Lumber Yard, Building Supplies",0,18981,88 Ave,V4N3G5,6048820064,6,GTC,Commercial/Industrial,2012,-122.69646,49.16292
Big O Tires,Retail Tires,0,13526,King George Blvd,V3T2T7,6045852388,2,SCC,Commercial/Industrial,2012,-122.84746,49.20019
Prime Collision Ltd,Auto Body Repair,0,14746,108A Ave,V3R1W8,6045852301,7,GTC,Commercial/Industrial,2012,-122.81388,49.19955
Budget Rent A Car Truck,Auto & Truck Rental Service,0,10305,King George Blvd,V3T2W6,6046687100,3,SCC,Commercial/Industrial,2012,-122.84551,49.19005
Cam Chain Co Ltd (128 St),Mfg. - Chains for Sawmill & Woodworking Machinery,0,8355,128 St,V3W4G1,6045991522,38,NTC,Commercial/Industrial,2012,-122.86813,49.15441
T J Glass Odyssey Inc,Auto Body Repair,0,13524,105 Ave,V3T1Z6,6045816313,4,SCC,Commercial/Industrial,2012,-122.84738,49.19304
Pharmasave 179,Retail Merchants - Drug Store,0,10654,King George Blvd,V3T2X3,6045814431,6,SCC,Commercial/Industrial,2012,-122.84515,49.19621
Crescent Beach Marina Co  Ltd,Marina,0,12555,Crescent Rd,V4A2V4,6045389666,13,SSTC,Commercial/Industrial,2012,-122.8741,49.05409
Dryco Drywall Supplies Ltd,Building Supplies,0,8515,148 St,V3S3G5,6045915141,20,FTC,Commercial/Industrial,2012,-122.81257,49.15759
X L Iron Works Co,Mfg. & Inst. Structural Steel & Misc. Metals,0,12720,82 Ave,V3W3G1,6045961747,45,NTC,Commercial/Industrial,2012,-122.86974,49.15135
Cedar Hills Animal Hospital,Veterinary Serv.,0,12863,96 Ave,V3V6V9,6045837387,6,SCC,Commercial/Industrial,2012,-122.86571,49.17725
Hugh & McKinnon Realty Ltd,"Real Estate Office, Property Mgmt .",0,14007,16 Ave,V4A1P9,6045311909,50,SSTC,Commercial/Industrial,2012,-122.83398,49.03129
H Y Louie Co Ltd,"Whlse. Groceries,Vending Machine",0,13557,77 Ave,V3W6Y2,6045917227,6,NTC,Commercial/Industrial,2012,-122.84699,49.14279
Garaventa Canada Ltd,"Mfg. - Inclined Stair Lifts, Wheelchair Elevators & Aerial Tramways",0,7505,134A St,V3W7B3,6045940422,138,NTC,Commercial/Industrial,2012,-122.85036,49.13925
A & A Contract Customs Brokers,Customs Broker,101,120,176 St,V3S9S2,6045427264,75,SSTC,Commercial/Industrial,2012,-122.73518,49.00433
Black & Lee Formal Wear Ltd,"Sales/Rental of Fine Formal Wear,Music Practice,Nutrition",80,10330,152 St,V3R4G8,6045828860,2,GTC,Commercial/Industrial,2012,-122.80075,49.19019
Kingdom Truck Accessories Ltd,Truck accessories sales,0,10324,Scott Rd,V3V4G1,6045843722,4,WTC,Commercial/Industrial,2012,0,0
Art Knapp Plantland (King George Blvd),Retail - Nursery & Garden Products,0,4391,King George Blvd,V4P2J9,6045969201,48,SSTC,Commercial/Industrial,2012,-122.82075,49.08178
