BUSINESS_NAME,PRODUCTS_OR_SERVICES,UNIT,HOUSE_NUMBER,ROAD,POSTAL_CODE,PHONE,EMPLOYEES,TOWN_CENTRE,BUSINESS_LICENCE_APPLICATION_TYPE,YEAR,LONGITUDE,LATITUDE
H Y Louie Co Ltd,"Whlse. Groceries,Vending Machine",0,13557,77 Ave,V3W6Y2,6045917227,6,NTC,Commercial/Industrial,2013,-122.84699,49.14279
Garaventa Canada Ltd,"Mfg. - Inclined Stair Lifts, Wheelchair Elevators & Aerial Tramways",0,7505,134A St,V3W7B3,6045940422,138,NTC,Commercial/Industrial,2013,-122.85036,49.13925
A & A Contract Customs Brokers,Customs Broker,101,120,176 St,V3S9S2,6045427264,75,SSTC,Commercial/Industrial,2013,-122.73518,49.00433
Black & Lee Formal Wear Ltd,"Sales/Rental of Fine Formal Wear,Music Practice,Nutrition",80,10330,152 St,V3R4G8,6045828860,2,GTC,Commercial/Industrial,2013,-122.80075,49.19019
Kingdom Truck Accessories Ltd,Truck accessories sales,0,10324,Scott Rd,V3V4G1,6045843722,4,WTC,Commercial/Industrial,2013,0,0
Art Knapp Plantland (King George Blvd),Retail - Nursery & Garden Products,0,4391,King George Blvd,V4P2J9,6045969201,48,SSTC,Commercial/Industrial,2013,-122.82075,49.08178
Jim Pattison Toyota,Automotive Service/Body Repair,0,15389,Guildford Dr,V3R0H9,6045972424,82,GTC,Commercial/Industrial,2013,-122.79975,49.19689
Southridge Building Supplies Ltd,Retail Merchant - Lumber,0,17444,56 Avenue,V3S1C3,6045762113,50,CTC,Commercial/Industrial,2013,-122.73987,49.104
Prospera Credit Union,Credit Union,102,1688,152 St,V4A4N2,6045388200,12,SSTC,Commercial/Industrial,2013,-122.80104,49.03271
South Fraser Community Services Society,Apartment Rentals,0,10689,135A St,V3T4E3,6045898678,1,SCC,Commercial/Industrial,2013,-122.84705,49.19713
Solid Rock Steel Fabricating Co Ltd,Mfg. - Specializing in Structural Steel,0,17780,Daly Rd,V4N4M5,6045811151,30,GTC,Commercial/Industrial,2013,-122.72939,49.18879
David Hunter Garden Centres Inc,Retail - Nursery Supplies,0,15175,72 Ave,V3S2G3,6045902431,4,NTC,Commercial/Industrial,2013,-122.80186,49.13377
Hallmark Air Conditioning A Div. Of Ainsworth Inc,Heating Air Conditioning & Refrigeration,104,17741,65A Ave,V3S1Z8,6045761355,25,CTC,Commercial/Industrial,2013,-122.73088,49.12125
Sunnyside Evergreen Pharmacy,Retail Merchant - Drug Store,0,2397,King George Blvd,V4A5A4,6045364404,6,SSTC,Commercial/Industrial,2013,-122.79352,49.04542
Canadian Tire Associate Store #622,Retail Hardware & Auto Accessories,0,3059,152 St,V4P3K1,6045424317,60,SSTC,Commercial/Industrial,2013,-122.80134,49.05765
K G Wardstrom - Industrial Gas,Industrial Gas Services Cont.,211,9654,192 St,V4N4C6,6048882077,8,GTC,Commercial/Industrial,2013,-122.6902,49.17809
Riverside Golf Centre (3600 King George Blvd),"Driving Range, Chip & Putt, Sporting Goods & Restaurant",0,3600,King George Blvd,V4P1B5,6045313555,10,SSTC,Commercial/Industrial,2013,-122.82064,49.06758
A A C Woodworking & Mfg Ltd,Mfg. - Custom Woodworking & Manufacturing,0,13315,72 Ave,V3W2N5,6045943288,7,NTC,Commercial/Industrial,2013,-122.85416,49.13376
7 Days Seafoods & Groceries,Seafood & Groceries,0,10711,King George Blvd,V3T2X6,6045852258,4,SCC,Commercial/Industrial,2013,-122.84544,49.19719
Kramer's Pet World,"Retail Pet Food, Supplies & Pets",0,1894,Guildford Town Centre,V3R7B8,6045815888,3,GTC,Commercial/Industrial,2013,-122.80242,49.19314
Shanahan's Limited Partnership,General Construction Contractor,0,8400,124 St,V3W6K1,6045915111,60,NTC,Commercial/Industrial,2013,-122.87896,49.15576
Greenbarn Potters Supply Ltd,Retail & Whlse. Pottery Supplies,0,9548,192 St,V4N3R9,6048883411,5,GTC,Commercial/Industrial,2013,-122.69045,49.17601
Budget Brake & Muffler (104 Ave),Brake & Muffler Serv.,0,13718,104 Ave,V3T1W4,6045888588,5,SCC,Commercial/Industrial,2013,-122.84194,49.19149
Scott Spring Ltd,"Auto & Truck Suspension,Vending Machine",0,10805,Scott Rd,V3V4G5,6045802876,8,WTC,Commercial/Industrial,2013,-122.88278,49.19909
Bevco Sales International Inc,Mfg. - Conveyor Systems,0,9354,194 St,V4N4E9,6048881455,16,GTC,Commercial/Industrial,2013,-122.68484,49.17275
Columbia Collision Repairs Ltd,Auto Body & Repair,101,7945,132 St,V3W4N2,6045968222,8,NTC,Commercial/Industrial,2013,-122.85694,49.14723
MacNaughton & Ward Ltd,Insurance Agency,1276,10355,152 St,V3R7P8,6045816121,23,GTC,Commercial/Industrial,2013,-122.80102,49.19063
Hallmark Ford Sales Ltd,"Auto Sales/Serv.,  Auto Body Repair",0,10025,152 St,V3R4G6,6045841222,62,GTC,Commercial/Industrial,2013,-122.80105,49.1847
Fitness World,Fitness Centre,0,13821,103 Ave,V3T5B5,6045881517,55,SCC,Commercial/Industrial,2013,-122.83926,49.18976
Avalon & Surrey Funeral Home & Cremation Centre,Funeral Home,0,13288,108 Ave,V3T2J6,6045814401,5,SCC,Commercial/Industrial,2013,-122.85415,49.19885
Precision Hearing Clinic Inc,Hearing Aid Consultant,0,10237,King George Blvd,V3T2W6,6045857414,2,SCC,Commercial/Industrial,2013,-122.84553,49.18865
Trowel Trades Accessories Ltd,Mfg. - Building Material,0,2158,191 St,V3S3M3,6045366100,9,SSTC,Commercial/Industrial,2013,-122.69446,49.04144
Edelweiss Auto Repairs Ltd,Auto Repair & Body Shop,0,7951,128 St,V3W4E7,6045902151,6,NTC,Commercial/Industrial,2013,-122.86809,49.14721
White Rock Sports & Imports,Auto Sales/Serv.,0,3601,King George Blvd,V4P1B6,6045364533,3,SSTC,Commercial/Industrial,2013,-122.82085,49.06747
White Rock Veterinary Hospital Ltd,Veterinarian,0,2460,152 St,V4P1M8,6045367618,16,SSTC,Commercial/Industrial,2013,-122.80106,49.04666
M J M Furniture Center Ltd (77 Ave),Retail Furniture,0,13570,77 Ave,V3W6Y3,6045969901,8,NTC,Commercial/Industrial,2013,-122.84635,49.14261
Superior Trophies Ltd,Trophies & Awards,0,13567,105A Ave,V3T2A9,6045843133,2,SCC,Commercial/Industrial,2013,-122.84634,49.19454
Aqua-Pak Styro Containers Ltd,Mfg. - Styrofoam Containers,0,7398,132 St,V3W4M7,6045902886,52,NTC,Commercial/Industrial,2013,-122.85659,49.13702
Ultimate Performance Ltd,Automotive Repair,71,15515,24 Ave,V4A2J4,6045366444,4,SSTC,Commercial/Industrial,2013,-122.79259,49.04568
Carillon Music Ltd,"Retail - Pianos, Lessons & Music Accessories",0,7050,King George Blvd,V3W4Z9,6045911161,22,NTC,Commercial/Industrial,2013,-122.84545,49.1303
Precision Propeller Surrey Ltd,"Sales/Serv., Marine Propellers & Aluminum Fabricating,Manufacturer/Machine Shop",18,13325,76 Ave,V3W2V8,6045967311,3,NTC,Commercial/Industrial,2013,-122.85332,49.14099
OK Tire & Auto Service Newton,Automotive Repair,0,7237,King George Blvd,V3W5A7,6045915222,6,NTC,Commercial/Industrial,2013,-122.84572,49.13412
Harms Auto Body & Paint Ltd,Auto Body Repair,0,13565,105 Ave,V3T1Z8,6045845111,7,SCC,Commercial/Industrial,2013,-122.8462,49.19321
Fraser Heights Animal Hospital,Professional Practitioner-Veterinarian,0,15585,104 Ave,V3R1N9,6045884161,25,GTC,Commercial/Industrial,2013,-122.7902,49.19168
Whalley Printers & Stationers,"Office Supplies, Offset Printing,Retail Merchant - Stationery",0,10715,King George Blvd,V3T2X6,6045883533,7,SCC,Commercial/Industrial,2013,-122.84545,49.19726
Pine Lighting,Whlse. & Retail Lighting,0,6898,King George Blvd,V3W4Z9,6045918895,7,NTC,Commercial/Industrial,2013,-122.84545,49.12784
Schmidt Berg & Company,Certified General Accountants,101,15399,102A Ave,V3R7K1,6045888585,8,GTC,Commercial/Industrial,2013,-122.79542,49.18889
Cascade Christian Counselling Assn,Psychotherapy Counselling,201,14980,104 Ave,V3R1M9,6045851411,3,GTC,Commercial/Industrial,2013,-122.80695,49.1914
M B E Auto Service,Automotive Repair Service,109,13375,76 Ave,V3W6J3,7785656502,3,NTC,Commercial/Industrial,2013,-122.852,49.14098
Unique Custom Upholstery,Upholstery Of Restaurant Booths,120,12960,84 Ave,V3W1K7,6045973888,5,NTC,Commercial/Industrial,2013,-122.86358,49.15529
Great Pacific Diving Co Ltd The,"Diving Equipt., Lessons, Rentals & Charters",167,10020,152 St,V3R8X8,6045831700,2,GTC,Commercial/Industrial,2013,-122.80078,49.1846
Scottsdale Lanes,Bowling Center & Lounge,0,12033,84 Ave,V3W3G4,6045963924,12,NTC,Commercial/Industrial,2013,-122.88916,49.15605
Purity Casting Alloys Ltd,Custom Alloying,15,18503,97 Ave,V4N3N9,6048880181,5,GTC,Commercial/Industrial,2013,-122.70945,49.17906
Trimlite ULC,Whlse. & Dist. of Wood Products & Glass,102,19350,Enterprise Way,V3S6J9,6045334111,1,CTC,Commercial/Industrial,2013,-122.68454,49.11103
Fruiticana Produce Ltd #22,Grocery Store,104,7028,120 St,V3W3M8,6045908864,5,NTC,Commercial/Industrial,2013,-122.89022,49.13093
Brick Warehouse LP The,Retail Merchant - Furniture & Appliances,0,10153,King George Blvd,V3T2W1,6045880808,40,SCC,Commercial/Industrial,2013,-122.84555,49.18696
General Paint (152 St),Retail Paint & Wallpaper,138,1959,152 St,V4A9E3,6045365747,6,SSTC,Commercial/Industrial,2013,-122.80133,49.03761
Turkey Party Makers Ltd,Whlse. Paper & Plastic Products,0,17950,55 Ave,V3S6C8,6045761467,15,CTC,Commercial/Industrial,2013,-122.72498,49.1022
Old Surrey Restaurant,Restaurant,0,13483,72 Ave,V3W2N7,6045962313,13,NTC,Commercial/Industrial,2013,-122.84828,49.13367
King George Automotive 2005 Ltd,Automotive Repair,9,7788,132 St,V3W0H5,6045967404,4,NTC,Commercial/Industrial,2013,-122.85665,49.14426
Fresgo Inn Restaurant,Restaurant,0,10102,King George Blvd,V3T2W4,6045880878,40,SCC,Commercial/Industrial,2013,-122.84528,49.18611
Altec Industries Ltd,Auto Repair Serv.,0,12352,84 Ave,V3W0J5,6045970355,8,NTC,Commercial/Industrial,2013,-122.88019,49.15565
Bank of Nova Scotia (Guildford Town Centre),Banking,0,2301,Guildford Town Centre,V3R7B9,6045863200,25,GTC,Commercial/Industrial,2013,0,0
Guildford Golf & Country Club,"Golf Course, Lounge & Banquet Facilities",0,7929,152 St,V3S3M5,6045941435,50,NTC,Commercial/Industrial,2013,-122.8013,49.1468
Maxwell Floors Ltd,"Contractor - Flooring Installation, commercial flooring",0,8441,160 St,V4N0V6,6045972423,9,FTC,Commercial/Industrial,2013,-122.77898,49.15657
Heritage Beds & Mattress,"Retail Mattress, Bed Furniture & Brass Furnishings,Party Supplies,Art gallery",10,3033,King George Blvd,V4P1B8,6045369380,2,SSTC,Commercial/Industrial,2013,-122.80823,49.05729
Pantry Restaurant The,Dining Room,0,2309,Guildford Town Centre,V3R7B9,6045883244,30,GTC,Commercial/Industrial,2013,0,0
Knight & Day Restaurant,Dining Lounge,0,9677,King George Blvd,V3T2V3,6045887575,30,SCC,Commercial/Industrial,2013,-122.8458,49.17817
Kal Tire Distributors,Automotive Repair Service,0,13443,72 Ave,V3W2N7,6045978826,6,NTC,Commercial/Industrial,2013,-122.84963,49.13369
Chalifour Canada Ltd,"Whlse. Building Materials,Vending Machine",0,7846,128 St,V3T4X7,6045961551,41,NTC,Commercial/Industrial,2013,-122.8678,49.14478
B & B Bearing & Electric Motor Ltd,"Whlse. Bearings, Power Transmission & Electric Motors & Repairs",10,7788,132 St,V3W0H5,6045913371,10,NTC,Commercial/Industrial,2013,-122.85665,49.14426
Scottsdale Veterinary Hospital,Veterinary Clinic,0,7072,120 St,V3W3M8,6045902121,20,NTC,Commercial/Industrial,2013,-122.89022,49.13172
Newton Petro Canada,Gas Station,0,13573,72 Ave,V3W2N9,6045967685,7,NTC,Commercial/Industrial,2013,-122.84588,49.13363
Commander Warehouse Equipment,Warehouse - Equip.,0,5225,192 St,V3S8E5,6045745797,25,CTC,Commercial/Industrial,2013,-122.69138,49.09796
Naka Welding Inc,Welding & Light Fabricating,304,13395,76 Ave,V3W6K2,6045974977,3,NTC,Commercial/Industrial,2013,-122.85147,49.14098
John Bresnick & Associates,Professional Practitioner-Land Surveyor,113,13302,76 Ave,V3W2W1,6045918822,3,NTC,Commercial/Industrial,2013,-122.85393,49.14082
Clover Inn Beer & Wine Store,Beer & Wine Store,413,6466,176 St,V3S4G3,6045766751,4,CTC,Commercial/Industrial,2013,-122.73482,49.11983
Bozzini's Restaurant,Dining Lounge,105,13655,104 Ave,V3T1W3,6045886880,10,SCC,Commercial/Industrial,2013,-122.84338,49.19169
World Fabricators Ltd,Mfg. - Steel Fabrication,0,13135,116 Ave,V3R2S8,6045803337,15,WTC,Commercial/Industrial,2013,-122.85799,49.21356
Hook & Ladder Pub,Neighbourhood Pub,0,8593,132 St,V3W4N8,6045902251,16,,Commercial/Industrial,2013,-122.85703,49.15855
Celltex Collision,Auto Body Repair,41306,12334,84 Ave,V3W0J5,6045979774,6,NTC,Commercial/Industrial,2013,-122.88109,49.15567
Fleetwood Arms Neighborhood Pub,Neighbourhood Pub,0,8410,160 St,V4N0V7,6045973220,27,FTC,Commercial/Industrial,2013,-122.7787,49.15552
Peterbilt Trucks Pacific Inc,"Sales/Serv .Trucks,Lunch Room at RCMP,Vending Machine",0,19470,96 Ave,V4N4C2,6048881411,58,GTC,Commercial/Industrial,2013,-122.68359,49.1769
Haleys'  White Rock Dodge,Automotive Dealership,0,3050,King George Blvd,V4P1A2,6045319156,45,SSTC,Commercial/Industrial,2013,-122.8082,49.05755
The Fin Pub,Neighbourhood Pub,0,7115,138 St,V3W7T9,6045960005,8,NTC,Commercial/Industrial,2013,-122.83879,49.13171
Gescan Electrical Distributors,Whlse.  - Electrical,201,13060,80 Ave,V3W3B2,6045965515,9,NTC,Commercial/Industrial,2013,-122.86059,49.14808
S C Tools Ltd,"Metal Cuting Tools, Machine Tools & Accessories",105,13463,78 Ave,V3W0A8,6045918818,2,NTC,Commercial/Industrial,2013,-122.84959,49.14461
Gold Key Sales and Lease Ltd,Automotive Servicing,0,19545,No 10 (Langley Bypass) Hwy,V3S6K1,6045347431,1,CTC,Commercial/Industrial,2013,0,0
River Cable Ltd,Mfg. - Wire Rope,0,11406,132A St,V3R7S2,6045804636,8,WTC,Commercial/Industrial,2013,-122.85493,49.2105
Alpine Non-Ferrous Foundry of Canada Ltd,Mfg. - Aluminum & Bronze Castings,0,8657,132 St,V3W4P1,6045968080,8,NTC,Commercial/Industrial,2013,-122.85704,49.15969
Wheelhouse Beer & Wine Store,Liquor Licensee Retail Store,0,12911,96 Ave,V3V7K6,6045885162,14,SCC,Commercial/Industrial,2013,-122.86398,49.17724
Peace Arch Motors Ltd,Automobile Dealer,0,3174,King George Blvd,V4P1A2,6045312916,40,SSTC,Commercial/Industrial,2013,-122.81119,49.05996
Neighbourhood Auto Glass & Upholstery Ltd,Auto Glass Install & Upholstery,202,5726,Landmark Way,V3S7H1,6045333398,4,CTC,Commercial/Industrial,2013,-122.68382,49.10682
Boston Pizza (100 Ave),Restaurant,0,15125,100 Ave,V3R9P4,6045813600,70,GTC,Commercial/Industrial,2013,-122.80316,49.18428
F P B Insurance Brokers,Insurance Broker,0,17681,57 Ave,V3S1H1,6045753495,5,,Commercial/Industrial,2013,-122.73277,49.10607
Guildford Pet Foods,Retail Pet Food & Supplies,0,15585,104 Ave,V3R1N9,6045884115,3,GTC,Commercial/Industrial,2013,-122.7902,49.19168
Anastasia Restaurant,Dining Lounge,0,13486,72 Ave,V3W2N8,6045942322,12,NTC,Commercial/Industrial,2013,-122.84818,49.13349
Vairo's Collision Repairs Ltd,Auto Body Repair,14,7711,128 St,V3W4E6,6045999331,1,NTC,Commercial/Industrial,2013,-122.86807,49.14332
Phaser Fire Protection,Contractor - Sprinkler,2,19080,96 Ave,V4N3R3,6048880318,35,GTC,Commercial/Industrial,2013,-122.69379,49.17691
Parkinson's Heating Ltd,Heating Cont.,0,7566,134A St,V3W7J1,6045998444,12,NTC,Commercial/Industrial,2013,-122.8501,49.14017
East West Fabrics Inc,Retail Merchant - Clothing,106,7028,120 St,V3W3M8,6045908861,2,NTC,Commercial/Industrial,2013,-122.89022,49.13093
Precision Metals Ltd,Manufacturer - Roofing Products,0,8075,132 St,V3W4N5,6045946001,25,NTC,Commercial/Industrial,2013,-122.85696,49.14958
The Fin Liquor Store,Cold Beer & Wine Store,229,7115,138 St,V3W7T9,6045960005,7,NTC,Commercial/Industrial,2013,-122.83879,49.13171
Longley Electric Co Ltd,"Mfg. - Sheet Metal, Industrial Fans & Heaters",0,7911,128 St,V3W4E7,6045916426,6,NTC,Commercial/Industrial,2013,-122.86808,49.14646
Langley Chrysler Jeep,"Sales, Serv. & Leasing Auto",0,19418,Langley Bypass,V3S7R2,6045345355,65,CTC,Commercial/Industrial,2013,0,0
E & H Hitch Shop,Ironwork & Welding Repair,0,8155,128 St,V3W4G1,6045901776,6,NTC,Commercial/Industrial,2013,-122.86812,49.15082
Wolfe's Langley Mazda,"Sales, Serv. & Leasing Auto",0,19360,Langley Bypass,V3S7R2,6045340181,30,CTC,Commercial/Industrial,2013,0,0
Ron-Sons Torch Repairs Sales Ltd,Whlse. Welding Supplies & Welding Repairs,1,9677,192 St,V4N4C7,6048884481,8,GTC,Commercial/Industrial,2013,-122.69047,49.17853
Magicuts  5478,Beauty Salon,190,7488,King George Blvd,V3W0H9,6045995868,3,NTC,Commercial/Industrial,2013,-122.84548,49.1388
New Image Millwork Ltd,Mfg. - Cabinets,105,13375,76 Ave,V3W6J3,6045961999,7,NTC,Commercial/Industrial,2013,-122.852,49.14098
Belfor Canada Inc,General Construction Contractor,0,7677,132 St,V3W4M8,6045999980,24,NTC,Commercial/Industrial,2013,-122.85691,49.14234
Amos Ferguson Manor,Seniors Housing Apartment Rentals,101,8243,152 St,V3S3M6,6045901522,3,FTC,Commercial/Industrial,2013,-122.80146,49.15278
Oto Hearing Products Ltd,"Mfg. - Hearing Aid, Ear Molds, Ear Defenders,Wholesale,Recreational Facility,Warehouse",214,12837,76 Ave,V3W2V3,6045901211,10,NTC,Commercial/Industrial,2013,-122.8661,49.1411
Refillink,Importer & Whlse. Home Accessories,113,12827,76 Ave,V3W2V3,6045941123,4,NTC,Commercial/Industrial,2013,-122.86637,49.1411
Homecraft Manufacturing Corp,"Light Metal Fabrication, CNC Equipment, Sauna Heaters & Controls and Equipment",216,9654,192 St,V4N4C6,6048883403,8,GTC,Commercial/Industrial,2013,-122.6902,49.17809
Greater Vancouver Community Credit Union,Credit Union,1,9989,152 St,V3R4G5,6045844434,9,GTC,Commercial/Industrial,2013,-122.80106,49.18399
Macy's Blinds Manufacturing Co Ltd,Manufacturer - Venetian Blinds,0,12995,80 Ave,V3W3B1,6045991928,1,NTC,Commercial/Industrial,2013,-122.86255,49.14825
Pro Draft Incorporated,Drafting Consultant,205,12332,Pattullo Pl,V3V8C3,6045896425,10,WTC,Commercial/Industrial,2013,-122.88018,49.20356
Peter F Pook Insurance (King George Blvd),Insurance Agency,2325,10153,King George Blvd,V3T2W1,6045810404,7,SCC,Commercial/Industrial,2013,-122.84555,49.18696
H Y Engineering Ltd,Engineering Office,200,9128,152 St,V3R4E7,6045831616,31,FTC,Commercial/Industrial,2013,-122.80118,49.1688
International Gems Inc,Retail Jewelry & Giftware,120,1959,152 St,V4A9E3,6045363622,5,SSTC,Commercial/Industrial,2013,-122.80133,49.03761
Jonker Honda,Automobile Sales,0,19515,No 10 (Langley Bypass) Hwy,V3S6K1,6045306281,42,CTC,Commercial/Industrial,2013,0,0
Bender Painting & Decorating Ltd,Painting Cont.,204,12837,76 Ave,V3W2V3,6045918000,21,NTC,Commercial/Industrial,2013,-122.8661,49.1411
Latoplast Ltd,Whlse. Safety Supplies,208,7889,132 St,V3W4N2,6045919773,10,NTC,Commercial/Industrial,2013,-122.85694,49.14633
Cambridge Press Ltd,"4 Color Press Printer, PrePress, Graphics & Desktop Publishing",1,8125,130 St,V3W7X4,6045999157,3,NTC,Commercial/Industrial,2013,-122.86241,49.15026
Arctic Glacier Inc,Mfg. - Ice Products,0,9679,186 St,V4N3N8,6048884311,11,GTC,Commercial/Industrial,2013,-122.7078,49.17831
L J Custom Sheet Metal Ltd,Mfg. - Sheet Metal Products,0,17940,Roan Pl,V3S5K1,6045745330,19,CTC,Commercial/Industrial,2013,-122.72533,49.10092
Keystone Forest Products Ltd,Whlse. Lumber,0,11598,132A St,V3R7S2,6045802234,5,WTC,Commercial/Industrial,2013,-122.85488,49.21284
Walrus Truck & Crane Services Ltd,Crane & Cartage,0,10979,Olsen Rd,V3V3S9,6045802626,7,WTC,Commercial/Industrial,2013,-122.89177,49.2018
Mercana Art Decor Inc,Manufacturer - Picture Frames,16,13478,78 Ave,V3W8J6,6045961668,35,NTC,Commercial/Industrial,2013,-122.84923,49.14442
Home Hardware Ltd,"Hardware,Retail Merchant",101,1645,140 St,V4A4H1,6045366564,6,SSTC,Commercial/Industrial,2013,-122.83448,49.03206
Custom House Global Foreign Exchange,Second Hand Dealer - Antiques,0,15241,16 Ave,V4A1R6,6045350222,3,SSTC,Commercial/Industrial,2013,-122.79996,49.0312
Allondale Animal Hospital Ltd,"Veterinarian, Small Animals",0,14715,108 Ave,V3R1V9,6045810491,9,GTC,Commercial/Industrial,2013,-122.81462,49.19883
#1 Impex Canada Ltd,Wholesaler,101,12815,85 Ave,V3W0K8,6045946862,3,NTC,Commercial/Industrial,2013,-122.86755,49.15752
Docksteader Sports Ltd,Retail - Sporting Goods,101,2381,King George Blvd,V4A5A4,6045366776,6,SSTC,Commercial/Industrial,2013,-122.79316,49.04513
Peace Arch Golf Centre,Driving Range & Lessons,0,765,172 St,V4B5A8,6045411214,3,SSTC,Commercial/Industrial,2013,-122.74645,49.01582
Iris Sun & Sport,Retail Merchant - Optical Wear,0,1167,Guildford Town Centre,V3R7B7,6045895350,4,GTC,Commercial/Industrial,2013,0,0
Ambassador Brake & OK Tire,Auto Repair,0,15167,Fraser Hwy,V3R3P2,6045899336,3,FTC,Commercial/Industrial,2013,-122.80224,49.16654
Cullen Diesel Power Ltd,Diesel Engine Repair & Sales,0,9300,192 St,V4N3R8,6048881211,160,GTC,Commercial/Industrial,2013,-122.6912,49.1709
Canadian Inn,Motel,0,6528,King George Blvd,V3W4Z3,6045940010,4,NTC,Commercial/Industrial,2013,-122.84536,49.12119
Double S Prefab Homes Ltd,Mfg. - Prefab Cedar Homes,0,14771,64 Ave,V3S1X6,6045941777,4,NTC,Commercial/Industrial,2013,-122.81308,49.11922
Group Health Global Benefit Systems Inc,"Consulting Service - Group Benefits
Also occupying 203-212",200,2626,Croydon Dr,V3S0S8,6045368887,83,SSTC,Commercial/Industrial,2013,-122.78948,49.05003
Gary's Automotive,Automotive Repair,0,19082,32 Ave,V3S0L5,6045411818,4,SSTC,Commercial/Industrial,2013,-122.69475,49.06004
Trans Continental Textile Recycling Ltd,Clothing Processing,0,13120,78A Ave,V3W1P4,6045922845,85,NTC,Commercial/Industrial,2013,-122.85861,49.14555
T D Canada Trust City Centre,Bank,0,10435,King George Blvd,V3T2W7,6045862000,41,SCC,Commercial/Industrial,2013,-122.84548,49.19242
Finning Ltd (Truck Engine Service),"Whlse. Cat Engine Parts, Engine Serv.,Class 8 truck & trailer sales",0,19498,92 Ave,V4N4G7,6048883406,39,GTC,Commercial/Industrial,2013,-122.68223,49.17006
K V Piano Man Ltd,"New & Used Pianos, Sales/Serv.",13,15531,24 Ave,V4A2J4,6045381847,2,SSTC,Commercial/Industrial,2013,-122.79215,49.04568
Extra Innings,"Stadium Class ""E"" Liquor License",0,2201,148 St,V4A9P5,6045313220,25,SSTC,Commercial/Industrial,2013,-122.81239,49.04371
Michael & Young Flyfishing Supplies Inc,Retail Merchant - Flyfishing Supplies,0,10484,137 St,V3T4H5,6045882833,5,SCC,Commercial/Industrial,2013,0,0
Y V R Air Truck Freight Systems Inc,Import/Export Trucking & Cartage,67,15515,24 Ave,V4A2J4,6045381040,6,SSTC,Commercial/Industrial,2013,-122.79259,49.04568
